,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality,wbEconomy,wbCode,wbRegion,wbIncome_group,wbLending category,wbOther (EMU or HIPC)
6417,LBN,Asia,Lebanon,2021-07-06,545965.0,294.0,180.0,7865.0,2.0,2.4290000000000003,79989.692,43.074,26.372,1152.306,0.293,0.35600000000000004,,,,,,,,,,,,,,,,,,,1410729.0,947181.0,463548.0,19480.0,13982.0,20.67,13.88,6.79,2049.0,,6825442.0,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.7440000000000001,,Lebanon,LBN,Middle East & North Africa,2_Upper middle income,IBRD,
6751,LTU,Europe,Lithuania,2021-07-06,278950.0,44.0,32.0,4395.0,4.0,2.0,102468.84,16.163,11.755,1614.4489999999998,1.469,0.735,,,,,,,,,,,,,,,,,,,2352582.0,1258753.0,1093829.0,4686.0,12711.0,86.42,46.24,40.18,4669.0,,2722291.0,45.135,43.5,19.002,13.777999999999999,29524.265,0.7,342.98900000000003,3.67,21.3,38.0,,6.56,75.93,0.882,,Lithuania,LTU,Europe & Central Asia,1_High income,,EMU
6859,LUX,Europe,Luxembourg,2021-07-06,71547.0,118.0,121.714,818.0,0.0,0.0,114296.714,188.50599999999997,194.43900000000002,1306.759,0.0,0.0,,,,,,,,,,,,,,,,,,,585552.0,354951.0,230601.0,7839.0,7239.0,93.54,56.7,36.84,11564.0,,625976.0,231.447,39.7,14.312000000000001,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,,4.51,82.25,0.9159999999999999,,Luxembourg,LUX,Europe & Central Asia,1_High income,,EMU
7098,MYS,Asia,Malaysia,2021-07-06,792693.0,7654.0,6712.857,5677.0,103.0,81.286,24491.536,236.483,207.405,175.4,3.182,2.511,,,,,,,,,,,,,,,,,,,9660519.0,6791759.0,2868760.0,340043.0,262230.0,29.85,20.98,8.86,8102.0,,32365998.0,96.25399999999999,29.9,6.292999999999999,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,,Malaysia,MYS,East Asia & Pacific,2_Upper middle income,IBRD,
7360,MLT,Europe,Malta,2021-07-06,30675.0,11.0,8.142999999999999,420.0,0.0,0.0,69472.912,24.913,18.442,951.2180000000001,0.0,0.0,,,,,,,,,,,,,,,,,,,692581.0,365611.0,341765.0,2657.0,3960.0,156.86,82.8,77.4,8969.0,43.52,441539.0,1454.037,42.4,19.426,11.324000000000002,36513.323,0.2,168.71099999999998,8.83,20.9,30.2,,4.485,82.53,0.895,,Malta,MLT,Middle East & North Africa,1_High income,,EMU
7529,MEX,North America,Mexico,2021-07-06,2549862.0,7989.0,5242.571,233958.0,269.0,165.0,19776.682,61.963,40.661,1814.5739999999998,2.086,1.28,,,,,,,,,,,,,,,,,,,48499324.0,33691170.0,20040922.0,759541.0,483729.0,37.62,26.13,15.54,3752.0,,128932753.0,66.444,29.3,6.857,4.321000000000001,17336.468999999997,2.5,152.783,13.06,6.9,21.4,87.84700000000001,1.38,75.05,0.779,,Mexico,MEX,Latin America & Caribbean,2_Upper middle income,IBRD,
7596,MDA,Europe,Moldova,2021-07-06,257105.0,70.0,62.286,6200.0,3.0,1.286,63735.09099999999,17.352999999999998,15.44,1536.95,0.7440000000000001,0.319,,,,,,,,,,,1280788.0,317.501,,4310.0,1.068,0.013999999999999999,69.2,tests performed,755391.0,468103.0,287288.0,8928.0,6921.0,18.73,11.6,7.12,1716.0,,4033963.0,123.655,37.6,10.864,6.955,5189.972,0.2,408.50199999999995,5.72,5.9,44.6,86.979,5.8,71.9,0.75,,Moldova,MDA,Europe & Central Asia,2_Upper middle income,IBRD,
7672,MNG,Asia,Mongolia,2021-07-06,130452.0,3641.0,2460.0,646.0,17.0,14.0,39792.672999999995,1110.639,750.3910000000001,197.054,5.186,4.271,,,,,,,,,,,,,,,,,,,3865840.0,2088595.0,1777245.0,,17434.0,117.92,63.71,54.21,5318.0,,3278292.0,1.98,28.6,4.031000000000001,2.421,11840.846000000001,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737,,Mongolia,MNG,East Asia & Pacific,3_Lower middle income,IBRD,
7774,MNE,Europe,Montenegro,2021-07-06,100362.0,24.0,18.857,1619.0,0.0,1.286,159796.326,38.213,30.024,2577.771,0.0,2.0469999999999997,,,,,,,,,,,,,,,,,,,296156.0,154530.0,141626.0,1850.0,1215.0,47.15,24.6,22.55,1935.0,,628062.0,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.8290000000000001,,Montenegro,MNE,Europe & Central Asia,2_Upper middle income,IBRD,
7882,MAR,Africa,Morocco,2021-07-06,535974.0,1177.0,769.857,9336.0,7.0,6.2860000000000005,14520.886,31.888,20.857,252.93599999999998,0.19,0.17,,,,,,,,,,,,,,,,,,,19355349.0,10160373.0,9194976.0,54361.0,52713.0,52.44,27.53,24.91,1428.0,,36910558.0,80.08,29.6,6.769,4.209,7485.013000000001,1.0,419.14599999999996,7.14,0.8,47.1,,1.1,76.68,0.6859999999999999,,Morocco,MAR,Middle East & North Africa,3_Lower middle income,IBRD,
